Gracz,Rasa,Hexy,Technologia,Reputacja,Ambasador,Odkrycia,Monolity,Anomalie + Straożytni,Rasowe Bonusy,Inne,Suma,Miejsce,Liczba Graczy,Data,Czas,Wygrany
EWC,Hydranie,,,,,,,,,,39,1,,,,
EWC,Mechanema,,,,,,,,,,29,2,,,,
EWC,Magellanie,,,,,,,,,,27,3,,,,
EWC,Orion,,,,,,,,,,35,4,,,,
EWC,Ludzie,,,,,,,,,,33,5,,,,
EWC,Ludzie 2,,,,,,,,,,27,6,,,,

EWC,Hydranie,,,,,,,,,,32,1,,,,
EWC,Ludzie,,,,,,,,,,30,2,,,,
EWC,Orion,,,,,,,,,,27,3,,,,
EWC,Magellanie,,,,,,,,,,27,4,,,,
EWC,Mechanema,,,,,,,,,,18,5,,,,
EWC,Rho Indi,,,,,,,,,,16,6,,,,

EWC,Planta,,,,,,,,,,44,1,,,,
EWC,Draco,,,,,,,,,,43,2,,,,
EWC,Orion,,,,,,,,,,39,3,,,,
EWC,Hydranie,,,,,,,,,,25,4,,,,
EWC,Magellanie,,,,,,,,,,28,5,,,,
EWC,Mechanema,,,,,,,,,,22,6,,,,

EWC,Magellanie,,,,,,,,,,57,1,,,,
EWC,Magellanie 2,,,,,,,,,,43,2,,,,
EWC,Ludzie,,,,,,,,,,31,3,,,,
EWC,Dorado,,,,,,,,,,25,4,,,,

EWC,Magellanie,,,,,,,,,,42,2,,,,
EWC,Orion,,,,,,,,,,27,4,,,,
EWC,Hydranie,,,,,,,,,,46,1,,,,
EWC,Planta,,,,,,,,,,11,5,,,,
EWC,Magellanie 2,,,,,,,,,,34,3,,,,

EWC,Magellanie,,,,,,,,,,44,1,,,,
EWC,Mechanema,,,,,,,,,,31,4,,,,
EWC,Hydranie,,,,,,,,,,38,2,,,,
EWC,Orion,,,,,,,,,,15,6,,,,
EWC,Octanis,,,,,,,,,,30,5,,,,
EWC,Dorado,,,,,,,,,,32,3,,,,

EWC,Planta,,,,,,,,,,24,5,,,,
EWC,Magellanie 2,,,,,,,,,,35,3,,,,
EWC,Magellanie,,,,,,,,,,36,2,,,,
EWC,Mechanema,,,,,,,,,,25,4,,,,
EWC,Ludzie,,,,,,,,,,41,1,,,,

EWC,Mechanema,,,,,,,,,,23,3,,,,
EWC,Pyxis,,,,,,,,,,35,2,,,,
EWC,Magellanie,,,,,,,,,,18,5,,,,
EWC,Rho Indi,,,,,,,,,,19,4,,,,
EWC,Hydranie,,,,,,,,,,42,1,,,,
EWC,Eridani,,,,,,,,,,15,6,,,,

EWC,Magellanie,,,,,,,,,,43,2,,,,
EWC,Orion,,,,,,,,,,49,1,,,,
EWC,Mechanema,,,,,,,,,,9,6,,,,
EWC,Exiles,,,,,,,,,,34,3,,,,
EWC,Pyxis,,,,,,,,,,28,5,,,,
EWC,Hydranie,,,,,,,,,,29,4,,,,

EWC,Magellanie 2,,,,,,,,,,25,6,,,,
EWC,Octanis,,,,,,,,,,33,3,,,,
EWC,Orion,,,,,,,,,,28,5,,,,
EWC,Magellanie,,,,,,,,,,30,4,,,,
EWC,Hydranie,,,,,,,,,,43,1,,,,
EWC,Planta,,,,,,,,,,33,2,,,,

EWC,Octanis,,,,,,,,,,23,4,,,,
EWC,Magellanie,,,,,,,,,,40,3,,,,
EWC,Dorado,,,,,,,,,,44,2,,,,
EWC,Magellanie 2,,,,,,,,,,5,6,,,,
EWC,Ludzie,,,,,,,,,,13,5,,,,
EWC,Hydranie,,,,,,,,,,69,1,,,,

EWC,Magellanie,,,,,,,,,,23,6,,,,
EWC,Octanis,,,,,,,,,,23,5,,,,
EWC,Mechanema,,,,,,,,,,34,2,,,,
EWC,Planta,,,,,,,,,,25,4,,,,
EWC,Orion,,,,,,,,,,28,3,,,,
EWC,Hydranie,,,,,,,,,,57,1,,2016,,

EWC,Magellanie,,,,,,,,,,35,4,,,,
EWC,Draco,,,,,,,,,,30,3,,,,
EWC,Orion,,,,,,,,,,18,5,,,,
EWC,Mechanema,,,,,,,,,,11,6,,,,
EWC,Planta,,,,,,,,,,40,2,,,,
EWC,Hydranie,,,,,,,,,,45,1,,,,

EWC,Octanis,,,,,,,,,,41,2,,,,
EWC,Dorado,,,,,,,,,,43,1,,,,
EWC,Orion,,,,,,,,,,33,4,,,,
EWC,Mechanema,,,,,,,,,,29,5,,,,
EWC,Magellanie,,,,,,,,,,21,6,,,,
EWC,Hydranie,,,,,,,,,,40,3,,,,

EWC,Mechanema,,,,,,,,,,23,3,,,,
EWC,Octanis,,,,,,,,,,15,6,,,,
EWC,Eridani,,,,,,,,,,17,4,,,,
EWC,Magellanie,,,,,,,,,,42,1,,,,
EWC,Ludzie,,,,,,,,,,16,5,,,,
EWC,Hydranie,,,,,,,,,,32,2,,,,

EWC,Octanis,,,,,,,,,,29,5,,,,
EWC,Dorado,,,,,,,,,,34,3,,,,
EWC,Mechanema,,,,,,,,,,38,1,,,,
EWC,Hydranie,,,,,,,,,,7,6,,,,
EWC,Planta,,,,,,,,,,38,2,,,,
EWC,Orion,,,,,,,,,,30,4,,,,

EWC,Mechanema,,,,,,,,,,50,1,,,,
EWC,Rho Indi,,,,,,,,,,18,6,,,,
EWC,Orion,,,,,,,,,,21,5,,,,
EWC,Planta,,,,,,,,,,35,3,,,,
EWC,Octanis,,,,,,,,,,36,2,,,,
EWC,Hydranie,,,,,,,,,,22,4,,,,

EWC,Orion,,,,,,,,,,28,4,,,,
EWC,Octanis,,,,,,,,,,22,6,,,,
EWC,Draco,,,,,,,,,,25,5,,,,
EWC,Magellanie,,,,,,,,,,45,1,,,,
EWC,Magellanie 2,,,,,,,,,,30,3,,,,
EWC,Hydranie,,,,,,,,,,33,2,,2017,,

EWC,Octanis,,,,,,,,,,33,5,,,,
EWC,Magellanie 2,,,,,,,,,,34,4,,,,
EWC,Magellanie,,,,,,,,,,39,3,,,,
EWC,Mechanema,,,,,,,,,,21,6,,,,
EWC,Ludzie,,,,,,,,,,43,1,,,,
EWC,Hydranie,,,,,,,,,,40,2,,,,

EWC,Pyxis,,,,,,,,,,40,2,,,,
EWC,Mechanema,,,,,,,,,,19,6,,,,
EWC,Magellanie,,,,,,,,,,45,1,,,,
EWC,Hydranie,,,,,,,,,,32,4,,,,
EWC,Dorado,,,,,,,,,,40,3,,,,
EWC,Magellanie 2,,,,,,,,,,32,5,,,,

EWC,Mechanema,,,,,,,,,,24,5,,,,
EWC,Magellanie 3,,,,,,,,,,33,3,,,,
EWC,Magellanie 2,,,,,,,,,,39,2,,,,
EWC,Magellanie,,,,,,,,,,43,1,,,,
EWC,Orion,,,,,,,,,,18,6,,,,
EWC,Hydranie,,,,,,,,,,28,4,,,,

EWC,Planta,,,,,,,,,,39,2,,,,
EWC,Dorado,,,,,,,,,,41,1,,,,
EWC,Mechanema,,,,,,,,,,33,4,,,,
EWC,Draco,,,,,,,,,,23,5,,,,
EWC,Magellanie,,,,,,,,,,39,3,,,,

EWC,Mechanema,,,,,,,,,,21,5,,,,
EWC,Magellanie 2,,,,,,,,,,33,3,,,,
EWC,Magellanie,,,,,,,,,,35,2,,,,
EWC,Hydranie,,,,,,,,,,26,4,,,,
EWC,Dorado,,,,,,,,,,52,1,,,,

EWC,Magellanie,,,,,,,,,,52,1,,,,
EWC,Pyxis,,,,,,,,,,49,2,,,,
EWC,Dorado,,,,,,,,,,28,4,,,,
EWC,Hydranie,,,,,,,,,,8,5,,,,
EWC,Ludzie,,,,,,,,,,34,3,,,,

EWC,Magellanie 2,,,,,,,,,,38,3,,,,
EWC,Magellanie 3,,,,,,,,,,30,5,,,,
EWC,Eridani,,,,,,,,,,30,4,,,,
EWC,Dorado,,,,,,,,,,40,2,,,,
EWC,Magellanie,,,,,,,,,,42,1,,,,
EWC,Hydranie,,,,,,,,,,21,6,,2018,,

EWC,Magellanie,,,,,,,,,,33,3,,,,
EWC,Orion,,,,,,,,,,34,2,,,,
EWC,Planta,,,,,,,,,,38,1,,,,
EWC,Rho Indi,,,,,,,,,,17,5,,,,
EWC,Magellanie 2,,,,,,,,,,27,4,,,,

EWC,Mechanema,,,,,,,,,,34,2,,,,
EWC,Orion,,,,,,,,,,42,1,,,,
EWC,Magellanie,,,,,,,,,,32,4,,,,
EWC,Magellanie 2,,,,,,,,,,24,5,,,,
EWC,Hydranie,,,,,,,,,,32,3,,,,

EWC,Dorado,,,,,,,,,,43,2,,,,
EWC,Octanis,,,,,,,,,,17,5,,,,
EWC,Magellanie 2,,,,,,,,,,41,3,,,,
EWC,Planta,,,,,,,,,,36,4,,,,
EWC,Magellanie,,,,,,,,,,50,1,,,,

EWC,Planta,,,,,,,,,,45,1,,,,
EWC,Magellanie 2,,,,,,,,,,22,5,,,,
EWC,Orion,,,,,,,,,,35,2,,,,
EWC,Hydranie,,,,,,,,,,11,6,,,,
EWC,Dorado,,,,,,,,,,34,3,,,,
EWC,Magellanie,,,,,,,,,,33,4,,,,

EWC,Magellanie 3,,,,,,,,,,26,5,,,,
EWC,Magellanie 2,,,,,,,,,,29,3,,,,
EWC,Magellanie,,,,,,,,,,43,1,,,,
EWC,Octanis,,,,,,,,,,38,2,,,,
EWC,Mechanema,,,,,,,,,,27,4,,,,
EWC,Pyxis,,,,,,,,,,24,6,,,,

EWC,Ludzie,,,,,,,,,,51,1,,,,
EWC,Magellanie,,,,,,,,,,35,2,,,,
EWC,Hydranie,,,,,,,,,,27,4,,,,
EWC,Mechanema,,,,,,,,,,22,5,,,,
EWC,Orion,,,,,,,,,,33,3,,,,

EWC,Magellanie,,,,,,,,,,33,2,,,,
EWC,Mechanema,,,,,,,,,,29,3,,,,
EWC,Dorado,,,,,,,,,,25,6,,,,
EWC,Planta,,,,,,,,,,26,5,,,,
EWC,Eridani,,,,,,,,,,29,4,,,,
EWC,Ludzie,,,,,,,,,,37,1,,2019,,

ESAdv,Planta,,,,,,,,,,32,4,,,,
ESAdv,Ludzie,,,,,,,,,,38,1,,,,
ESAdv,Mechanema,,,,,,,,,,6,6,,,,
ESAdv,Orion,,,,,,,,,,35,2,,,,
ESAdv,Eridani,,,,,,,,,,33,3,,,,
ESAdv,Hydranie,,,,,,,,,,26,5,,11,,

ESAdv,Orion,,,,,,,,,,39,1,,,,
ESAdv,Mechanema,,,,,,,,,,34,2,,,,
ESAdv,Exiles,,,,,,,,,,25,5,,,,
ESAdv,Rho Indi,,,,,,,,,,29,3,,,,
ESAdv,Ludzie,,,,,,,,,,25,4,,,,
ESAdv,Planta,,,,,,,,,,18,6,,14,,

ESAdv,Magellanie,,,,,,,,,,47,1,,,,
ESAdv,Rho Indi,,,,,,,,,,29,6,,,,
ESAdv,Orion,,,,,,,,,,35,2,,,,
ESAdv,Eridani,,,,,,,,,,31,3,,,,
ESAdv,Planta,,,,,,,,,,29,5,,,,
ESAdv,Lyra,,,,,,,,,,30,4,,16,,

ESAdv,Magellanie,,,,,,,,,,30,5,,,,
ESAdv,Hydranie,,,,,,,,,,45,1,,,,
ESAdv,Ludzie,,,,,,,,,,33,3,,,,
ESAdv,Planta,,,,,,,,,,30,4,,,,
ESAdv,Rho Indi,,,,,,,,,,41,2,,,,
ESAdv,Eridani,,,,,,,,,,26,6,,17,,

ESAdv,Magellanie,,,,,,,,,,39,3,,,,
ESAdv,Planta,,,,,,,,,,41,1,,,,
